Token,Length,Frequency
ಮತ್ತು,5,10
ಈ,1,9
ನಿಬಂಧನೆ,7,8
ಯಾವ,3,6
ಅಥವಾ,4,6
ಎಲ್ಲಾ,5,5
ಮಾನವ,4,5
ಹಕ್ಕು,5,4
ರಾಷ್ಟ್ರಗಳ,9,4
ವನ್ನೂ,5,3
ಮೂಲ,3,3
ರಾಷ್ಟ್ರದ,8,3
ಗಳನ್ನು,6,3
ಸಾರ್ವತ್ರಿಕ,10,3
ರಾಷ್ಟ್ರೀಯ,9,3
ಆದ,2,3
ಪ್ರತಿಯೊಬ್ಬನಿಗೂ,14,3
ತಮ್ಮ,4,3
ಹಾಗೂ,4,2
ಅವುಗಳ,5,2
ಸ್ವಾತಂತ್ರ್ಯ,11,2
ಬಾಧ್ಯತೆಯುಂಟು,12,2
ಭಿಪ್ರಾಯ,7,2
ಸಮಕ್ಷಮದಲ್ಲಿ,11,2
ವಿಶ್ವಾಸವನ್ನೂ,12,2
ವಿಶ್ವಾಸ,7,2
ಪ್ರತಿ,5,2
ಸಾಮಾಜಿಕ,7,2
ಹಕ್ಕುಗಳಿಗೂ,10,2
ಸದಸ್ಯ,5,2
ಸ್ವಾತಂತ್ರ್ಯಗಳಿಗೂ,16,2
ಸ್ವಾತಂತ್ರ್ಯದ,12,2
ಉಲ್ಲಂಘಿಸುವ,10,2
ಸಾಮಾನ್ಯ,7,2
ಯನ್ನು,5,2
ಪ್ರಕಟನೆ,7,2
ಪ್ರತಿಜ್ಞೆ,9,2
ಯುಕ್ತ,5,2
ಅಂತರ,4,2
ಯಾವನನ್ನೂ,8,2
ಪ್ರಕಟನೆಯನ್ನು,12,2
ಪ್ರಚೆಗಳಲ್ಲಿಯೂ,13,2
ದಲ್ಲಿ,5,2
ಅಭಿವೃದ್ಧಿ,9,2
ಬಾಧ್ಯತೆಗಳ,9,2
ಹಕ್ಕುಂಟು,8,2
ಮನುಷ್ಯ,6,2
ಸ್ವಾತಂತ್ರ್ಯಗಳ,13,2
ಪ್ರಪಂಚ,6,2
ಕೆಟ್ವಳೆಯಿಂದ,11,1
ದೇಶದ,4,1
ಪ್ರಮಾಣವೆಂದೂ,11,1
ಸಭೆಗಳಿಂದ,8,1
ಇರಿಸಲಾಗದು,9,1
ಅಂಗೀಕಾರ,7,1
ನಿಷೇಧಿಸಲ್ಪಡುತ್ತವೆ,17,1
ಸ್ಥಿತಿಯ,7,1
ಗುರಿಪಡಿಸಲಾಗದು,13,1
ಸಮಾನ,4,1
ವಿಲ್ಲದೆ,7,1
ಪ್ರಕಟನೆಯಲ್ಲಿ,12,1
ಅಂಥಾ,4,1
ಬೆಳವಣೆರೆ,8,1
ತನಗಳನ್ನು,8,1
ಶಿಕ್ಷಣದಿಂದಲೂ,12,1
